complaint_id,complaint_officer_number,officer_days_on_force_at_incident,allegation_record_identity,fado_type,allegation,victim_age_range_at_incident,victim_gender,victim_race_legacy,investigator_recommendation,ccrb_allegation_disposition,tax_id,officer_rank_at_incident,officer_command_at_incident,victim_race_ethnicity,nypd_allegation_disposition,officer_years_on_force_at_incident
200818365,2,0,607015,Abuse of Authority,Stop,34 < Age <= 39,Male/Man,Hispanic,Complaint Withdrawn,Complaint Withdrawn,0,Unknown,Unknown,Unknown,Unknown,0.0
202104612,1,3280,1148225,Force,Physical force,29 < Age <= 34,Male/Man,Black,Exonerated,Exonerated,952577.0,Sergeant,PSA 1,Unknown,Unknown,8.99
201607329,1,223,964691,Abuse of Authority,Refusal to obtain medical treatment,29 < Age <= 34,Female/Woman,Hispanic,Complainant Uncooperative,Complainant Uncooperative,960384.0,Police Officer,072 PCT,Unknown,Unknown,0.61
201710237,2,0,1006015,Offensive Language,Other,34 < Age <= 39,Male/Man,Unknown,Closed - Pending Litigation,Closed - Pending Litigation,0,Unknown,Unknown,Unknown,Unknown,0.0
201214315,1,3215,812063,Abuse of Authority,Vehicle search,24 < Age <= 29,Male/Man,Unknown,Unsubstantiated,Unsubstantiated,933956.0,Police Officer,106 PCT,Unknown,Unknown,8.81
201808014,1,4277,1052204,Force,Chokehold,59 < Age <= 64,Male/Man,White,Unsubstantiated,Unsubstantiated,943440.0,Police Officer,023 PCT,Unknown,Unknown,11.72
200904026,1,1163,631905,Discourtesy,Word,17 < Age <= 20,Male/Man,Black,Unsubstantiated,Unsubstantiated,940891.0,Police Officer,101 PCT,Unknown,Unknown,3.19
200905127,1,1896,624087,Abuse of Authority,Threat of arrest,0,Male/Man,Black,Exonerated,Exonerated,933566.0,Police Officer,069 PCT,Unknown,Unknown,5.19
200006025,1,2967,258587,Abuse of Authority,Other,0,Unknown,Unknown,Unfounded,Unfounded,901292.0,Police Officer,068 PCT,Unknown,Unknown,8.13
200411584,1,0,385216,Abuse of Authority,Question and/or stop,20 < Age <= 24,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201006865,1,1952,698078,Offensive Language,Other,39 < Age <= 44,Male/Man,White,Complainant Uncooperative,Complainant Uncooperative,937330.0,Police Officer,TB DT03,Unknown,Unknown,5.35
202208288,2,3608,1208513,Discourtesy,Word,49 < Age <= 54,Male/Man,Unknown,Substantiated,Substantiated (Command Discipline A),953812.0,Sergeant,073 PCT,Decline to Answer (NA); Other (R),No Disciplinary Action-DUP,9.88
200204084,2,5714,297231,Abuse of Authority,Frisk and/or search,34 < Age <= 39,Male/Man,Black,Exonerated,Exonerated,891160.0,Sergeant,ND CH I,Unknown,Unknown,15.65
201402689,2,2076,878714,Force,Handcuffs too tight,17 < Age <= 20,Male/Man,Black,Unsubstantiated,Unsubstantiated,947624.0,Police Officer,044 PCT,Unknown,Unknown,5.69
201600411,2,0,942883,Force,Physical force,20 < Age <= 24,Male/Man,White,Exonerated,Exonerated,0,Unknown,014 PCT,Unknown,Unknown,0.0
201605392,1,0,956256,Abuse of Authority,Vehicle stop,44 < Age <= 49,Female/Woman,Other Race,Complaint Withdrawn,Complaint Withdrawn,0,Unknown,Unknown,Unknown,Unknown,0.0
200408728,1,5543,371945,Discourtesy,Word,24 < Age <= 29,Male/Man,Hispanic,Unsubstantiated,Unsubstantiated,895386.0,Detective,WARRSEC,Unknown,Unknown,15.19
201409656,1,4821,893390,Offensive Language,Other,34 < Age <= 39,Female/Woman,Hispanic,Unsubstantiated,Unsubstantiated,928099.0,Police Officer,102 PCT,Unknown,Unknown,13.21
200107301,4,609,289520,Force,Physical force,29 < Age <= 34,Male/Man,Black,Exonerated,Exonerated,925174.0,Police Officer,PSA 5,Unknown,Unknown,1.67
201208772,3,3295,855016,Force,Gun Pointed,17 < Age <= 20,Male/Man,Hispanic,Exonerated,Exonerated,933090.0,Police Officer,046 PCT,Unknown,Unknown,9.03
202508321,3,3150,1328829,Abuse of Authority,Question,17 < Age <= 20,Female/Woman,Unknown,Complainant Uncooperative,Complainant Uncooperative,963038.0,Sergeant,075 PCT,Black and/or African American (R),Unknown,8.63
201005498,3,6506,737899,Force,Police shield,44 < Age <= 49,Male/Man,Hispanic,Unsubstantiated,Unsubstantiated,911465.0,Detective,GANG M,Unknown,Unknown,17.82
200103715,1,0,271210,Abuse of Authority,Refusal to obtain medical treatment,17 < Age <= 20,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,042 PCT,Unknown,Unknown,0.0
200919104,1,2677,670090,Abuse of Authority,Property damaged,29 < Age <= 34,Female/Woman,Black,Exonerated,Exonerated,930513.0,Police Officer,043 PCT,Unknown,Unknown,7.33
201402547,1,6440,873743,Abuse of Authority,Search (of person),29 < Age <= 34,Female/Woman,Asian,Exonerated,Exonerated,917921.0,Lieutenant,PBBX,Unknown,Unknown,17.64
201213021,1,3185,804281,Discourtesy,Word,39 < Age <= 44,Male/Man,Hispanic,Complainant Uncooperative,Complainant Uncooperative,934073.0,Police Officer,048 PCT,Unknown,Unknown,8.73
202405663,2,3979,1278971,Force,Physical force,29 < Age <= 34,Male/Man,Unknown,Closed - Pending Litigation,Closed - Pending Litigation,955270.0,Sergeant,028 PCT,Black and/or African American (R),Unknown,10.9
201110465,2,1130,801321,Discourtesy,Word,20 < Age <= 24,Male/Man,Black,Unsubstantiated,Unsubstantiated,947214.0,Police Officer,PBBN,Unknown,Unknown,3.1
200506965,1,0,403821,Abuse of Authority,Threat of summons,14 < Age <= 17,Male/Man,Black,Complainant Unavailable,Complainant Unavailable,0,Unknown,Unknown,Unknown,Unknown,0.0
201907110,1,0,1067488,Abuse of Authority,Entry of Premises,0,Unknown,Unknown,Closed - Pending Litigation,Closed - Pending Litigation,0,Unknown,PSA 5,Unknown,Unknown,0.0
200714760,1,815,529942,Abuse of Authority,Search (of person),49 < Age <= 54,Male/Man,Black,Miscellaneous - Subject Resigned,Miscellaneous - Subject Resigned,939636.0,Police Officer,028 PCT,Unknown,Unknown,2.23
200807239,1,0,570340,Abuse of Authority,Search (of person),39 < Age <= 44,Male/Man,Hispanic,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201707096,1,3504,996458,Offensive Language,Other,29 < Age <= 34,Male/Man,Black,Unsubstantiated,Unsubstantiated,946577.0,Police Officer,069 PCT,Unknown,Unknown,9.6
201505883,1,6152,933510,Abuse of Authority,Frisk,34 < Age <= 39,Male/Man,Black,Substantiated,Substantiated (Formalized Training),923335.0,Detective,NARCBMN,Unknown,Formalized Training,16.85
200302179,2,3305,320539,Discourtesy,Word,0,Female/Woman,Hispanic,Complainant Uncooperative,Complainant Uncooperative,907229.0,Police Officer,I.A.B.,Unknown,Unknown,9.05
201502244,2,4603,912329,Offensive Language,Other,20 < Age <= 24,Male/Man,White,Unsubstantiated,Unsubstantiated,931465.0,Police Officer,066 PCT,Unknown,Unknown,12.61
202206724,2,8252,1208557,Abuse of Authority,Threat of force (verbal or physical),29 < Age <= 34,Female/Woman,Unknown,Miscellaneous - Subject Retired,Miscellaneous - Subject Retired,925589.0,Police Officer,112 PCT,Unknown,Unknown,22.61
202204591,4,2013,1241412,Force,Physical force,44 < Age <= 49,Female/Woman,Hispanic,Within NYPD Guidelines,Within NYPD Guidelines,963187.0,Police Officer,007 PCT,Unknown,Unknown,5.52
201900062,1,1983,1065187,Abuse of Authority,Vehicle search,39 < Age <= 44,Male/Man,Black,Exonerated,Exonerated,954580.0,Police Officer,PSA 2,Unknown,Unknown,5.43
201900564,1,2014,1044396,Discourtesy,Word,34 < Age <= 39,Male/Man,Unknown,Complainant Uncooperative,Complainant Uncooperative,955634.0,Police Officer,034 PCT,Unknown,Unknown,5.52
202304075,1,1206,1226272,Force,Physical force,54 < Age <= 59,Male/Man,Unknown,Within NYPD Guidelines,Within NYPD Guidelines,969342.0,Police Officer,040 PCT,Black and/or African American (R),Unknown,3.3
202003343,2,2502,1142048,Abuse of Authority,Other,34 < Age <= 39,Male/Man,Black,Unsubstantiated,Unsubstantiated,955457.0,Police Officer,052 PCT,Unknown,Unknown,6.85
200818043,1,1072,603987,Discourtesy,Word,34 < Age <= 39,Male/Man,Black,Complaint Withdrawn,Complaint Withdrawn,940910.0,Police Officer,046 PCT,Unknown,Unknown,2.94
202001293,2,4754,1164554,Abuse of Authority,Vehicle search,29 < Age <= 34,Female/Woman,Hispanic,Exonerated,Exonerated,943103.0,Lieutenant,034 PCT,Unknown,Unknown,13.02
200716483,1,5153,549053,Abuse of Authority,Premises entered and/or searched,0,Unknown,Unknown,Exonerated,Exonerated,905326.0,Sergeant,107 PCT,Unknown,Unknown,14.12
201900242,2,551,1043251,Abuse of Authority,Forcible Removal to Hospital,49 < Age <= 54,Female/Woman,White,Alleged Victim Unavailable,Alleged Victim Unavailable,964029.0,Police Officer,123 PCT,Unknown,Unknown,1.51
202306493,4,304,1249353,Discourtesy,Word,34 < Age <= 39,Male/Man,Black,Unfounded,Unfounded,974309.0,Police Officer,040 PCT,Unknown,Unknown,0.83
202105347,3,2983,1166112,Abuse of Authority,Refusal to obtain medical treatment,20 < Age <= 24,Female/Woman,Black,Unfounded,Unfounded,955131.0,Police Officer,047 PCT,Unknown,Unknown,8.17
200904093,1,0,620438,Abuse of Authority,Vehicle stop,39 < Age <= 44,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201805304,2,0,1024207,Abuse of Authority,Frisk,17 < Age <= 20,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201803277,1,1022,1017706,Abuse of Authority,Threat to notify ACS,0,Unknown,Unknown,Exonerated,Exonerated,958812.0,Police Officer,HBK RT,Unknown,Unknown,2.8
202506883,2,0,1324696,Force,Restricted Breathing,54 < Age <= 59,Male/Man,Unknown,Closed - Pending Litigation,Closed - Pending Litigation,0,Unknown,Unknown,Black and/or African American (R),Unknown,0.0
201911078,1,2170,1084594,Force,Physical force,20 < Age <= 24,Male/Man,Black,Alleged Victim Uncooperative,Alleged Victim Uncooperative,955894.0,Police Officer,103 PCT,Unknown,Unknown,5.95
201302891,1,0,830699,Force,Physical force,29 < Age <= 34,Male/Man,Unknown,Complainant Unavailable,Complainant Unavailable,0,Unknown,Unknown,Unknown,Unknown,0.0
202206072,8,2545,1200418,Force,Restricted Breathing,09 < Age <= 14,Male/Man,Hispanic,Unfounded,Unfounded,954583.0,Police Officer,075 PCT,Unknown,Unknown,6.97
201109091,2,2184,759668,Force,Physical force,17 < Age <= 20,Male/Man,Black,Unsubstantiated,Unsubstantiated,937955.0,Police Officer,048 PCT,Unknown,Unknown,5.98
200614975,1,6028,477425,Force,Physical force,24 < Age <= 29,Male/Man,Black,Unsubstantiated,Unsubstantiated,896415.0,Sergeant,PSA 7,Unknown,Unknown,16.52
201102134,1,1319,730992,Offensive Language,Other,20 < Age <= 24,Male/Man,Black,Unsubstantiated,Unsubstantiated,944518.0,Police Officer,063 PCT,Unknown,Unknown,3.61
